OBJECTID,GEOID10,Sum_ViolentCrime,Sum_PropertyCrime,Shape__Area,Shape__Length
1393,261635069002007,5,1,263654.651367188,2439.52294167082
1394,261635070002005,0,0,158814.625976563,1682.46169230624
1395,261635070003013,0,1,147429.878417969,1550.40854620177
1396,261635055002023,0,2,341746.680664063,3156.41986882285
1397,261635052001003,1,4,335204.685546875,2673.18789128398
1398,261635052003004,0,2,196469.193359375,1914.27622739785
1399,261635052003005,1,5,322903.497558594,2781.80430079018
1400,261635052001006,1,4,297164.787109375,2595.72710426508
1401,261635054001014,5,1,321792.290527344,2606.00242693335
1402,261635054004005,2,1,290897.275878906,2540.50564181255
1403,261635054003017,1,2,193595.353515625,2000.1773610251
1404,261635055002004,0,0,93620.1713867188,1237.04432086983
1405,261635055002019,1,0,265356.872070313,2206.28406301803
1406,261635055001006,5,0,317541.752441406,2568.61677311172
1407,261635044003002,0,1,488336.506347656,3316.28084852098
1408,261635044003003,0,5,429270.033203125,3062.34999678211
1409,261635044003004,0,5,396860.25390625,2856.85972770388
1410,261635080002004,9,10,7213515.72802734,12158.0068433083
1411,261635382002011,0,0,323592.7890625,2636.13556944399
1412,261635363001006,0,1,112845.888183594,1365.45348764338
1413,261635361004010,1,2,258158.412597656,2359.93363448295
1414,261635363001010,0,1,147505.192871094,1563.90781264264
1415,261635363002004,0,2,129399.506835938,1443.67398443585
1416,261635361004008,0,0,263683.647460938,2374.25903552276
1417,261635363001000,7,0,252506.647949219,2301.30251157172
1418,261635302004001,5,0,257103.568847656,2354.906339246
1419,261635302001005,3,5,289573.082519531,2413.55754796345
1420,261635302004005,3,10,348440.58984375,3159.69404694267
1421,261635364004007,0,0,299407.796386719,2586.59096720188
1422,261635351002000,1,3,298451.885498047,2428.73872119051
1423,261635250003010,1,2,204423.215332031,1830.73271635591
1424,261635257004005,1,7,225428.418945313,1939.13821527839
1425,261635256002013,0,1,163728.478027344,1614.4555955308
1426,261635256002011,0,2,326138.048828125,4360.018008084
1427,261635322002007,0,1,307237.35546875,2483.59586749728
1428,261635322002002,0,3,306658.794433594,2494.33500575129
1429,261635114002005,2,3,328642.971679688,2542.72947733099
1430,261635114002007,0,2,361434.74609375,2642.4863755455
1431,261635324003008,0,0,200540.960205078,1886.77718743614
1432,261635324003005,0,2,200134.0546875,1904.79570117646
1433,261635324003004,0,2,213023.531738281,1947.67702012508
1434,261635324003003,1,4,212839.096679688,1947.62797105252
1435,261635326001002,1,2,313000.705322266,2436.6574755036
1436,261635324003002,1,3,212034.670654297,1941.02945992806
1437,261635326003004,5,77,1662259.43188477,5107.35149562856
1438,261635339002001,2,7,278295.383300781,2138.5518790468
1439,261635326002000,0,1,44779.6101074219,1536.09157300549
1440,261635224001002,0,1,5323.57568359375,300.259448587271
1441,261635114004003,1,2,291863.827148438,2448.47459815937
1442,261635114005003,0,0,75357.0341796875,1958.05576141562
1443,261635114002015,3,10,590849.311035156,3037.43241283838
1444,261635119002002,1,1,224548.949707031,2080.25869148097
1445,261635119002010,0,2,218699.516357422,1987.92321478594
1446,261635339001001,7,6,423673.344238281,2747.2803390941
1447,261635339001002,4,8,359357.458740234,2629.38610213086
1448,261635119001002,1,1,209194.624511719,1960.46559211769
1449,261635049001003,3,2,211142.060546875,1959.92451820179
1450,261635049001002,5,6,223885.666015625,1997.30400165802
1451,261635049003014,0,1,190317.685546875,1811.64249142104
1452,261635033003002,0,4,193260.688964844,1828.45593944239
1453,261635033004007,1,1,217968.511230469,1979.84884541426
1454,261635033003001,0,2,194264.151367188,1829.93345985993
1455,261635033003000,4,1,185241.840332031,1798.1710522238
1456,261635033003012,0,1,223735.819824219,1996.98034951909
1457,261635033003015,0,0,210918.963867188,1958.67689434672
1458,261635035003004,1,2,211275.29296875,1960.30736299373
1459,261635035005008,2,0,118747.704101563,1368.54538914092
1460,261635009003003,0,6,291459.237792969,2462.1636461857
1461,261635010001005,2,5,241033.38671875,2167.77117637969
1462,261635010001008,2,2,240692.265136719,2148.82785185927
1463,261635007002010,1,7,237412.112792969,2131.23359136203
1464,261635007002007,1,1,230888.578613281,2102.44104239167
1465,261635010001000,0,2,214296.264648438,2016.96245431824
1466,261635009002009,4,5,308910.821289063,2486.73752506027
1467,261635010002003,1,3,240108.831542969,2059.12729883614
1468,261635011004002,0,1,120887.080566406,1434.61564449733
1469,261635011004000,1,4,233964.885253906,2125.22499061641
1470,261635011004003,0,5,241689.646484375,2151.6576434157
1471,261635041003015,4,1,218918.290527344,1940.66814389757
1472,261635041003016,0,0,145644.505371094,1617.13339332822
1473,261635041003018,0,2,63520.3872070313,1059.59932457289
1474,261635011003005,0,1,261141.36328125,2406.92359930687
1475,261635011002001,3,4,229840.129882813,2026.96485561684
1476,261635156002013,0,0,265547.241210938,2097.86145153186
1477,261635156002016,0,0,175318.231689453,1814.04841013846
1478,261635165001042,0,0,270182.091552734,2646.5113176289
1479,261635165001034,1,4,132230.094726563,1498.24141003202
1480,261635165001010,0,2,123713.532958984,1599.1080171085
1481,261635165001012,1,0,137662.556884766,1600.17597262384
1482,261635353001001,9,11,861104.02734375,5936.93311282662
1483,261635351002003,0,3,288825.077392578,2407.93277817777
1484,261635350002006,0,0,757213.433837891,4520.2989765793
1485,261635352002005,1,5,285901.327148438,2399.7383857469
