OBJECTID,GEOID10,GlobalID,OCC_RES,OCC_BUS,VAC_RES,VAC_BUS,TotalAddresses,TotalOCC,TotalVAC,TotRES,TotBUS,PctVAC,Shape__Area,Shape__Length
1159,261635011002001,09358de8-87b5-48c6-b2df-a973962436db,26,,4,,30,26,4,30,0,0.133333333333333,229840.129882813,2026.96485561684
1160,261635156002013,7565d010-31fa-4846-9dd0-0147d163a9c0,7,2,,1,10,9,1,7,3,0.1,265547.241210938,2097.86145153186
1161,261635156002016,56ca2a2b-90b2-433c-843b-32e41ef1407c,2,,,,2,2,0,2,0,,175318.231689453,1814.04841013846
1162,261635165001042,14f7c9cb-4839-4492-9aa1-a0d064dd81bd,,2,,1,3,2,1,0,3,0.333333333333333,270182.091552734,2646.5113176289
1163,261635165001034,d3288287-16f2-4e59-b33b-3259856ebe0c,183,2,8,,193,185,8,191,2,0.0414507772020725,132230.094726563,1498.24141003202
1164,261635165001010,441a6dc9-344f-43b4-8607-da7ea24e8ce5,173,2,,,175,175,0,173,2,,123713.532958984,1599.1080171085
1165,261635165001012,dfd3775e-c70c-4c7b-bf37-db7db7e4b85e,130,5,1,,136,135,1,131,5,0.00735294117647059,137662.556884766,1600.17597262384
1166,261635224001021,e7084471-52d9-408e-a4ea-d9f29be717b5,,3,,3,6,3,3,0,6,0.5,130667.413330078,1534.03414916867
1167,261635312001008,411ceb6c-20f0-45b1-a196-3b8e72b36e89,22,,4,,26,22,4,26,0,0.153846153846154,332482.907226563,2446.67603648888
1168,261635319001004,2a65c9ab-ff47-4ac6-a05e-d7514efa5124,2,1,2,,5,3,2,4,1,0.4,88874.9877929688,1199.18365266709
1169,261635105004004,921dd959-f5ae-47cb-b7d4-ca61ae20bfb2,2,,,,2,2,0,2,0,,39045.09375,980.903064550072
1170,261635105004005,28e38953-4391-4daa-bfbc-c4682d05b8b9,1,1,,,2,2,0,1,1,,7465.4072265625,854.678014581896
1171,261635353001001,67aa9673-331c-40a7-936c-51742d72b2dd,50,,15,2,67,50,17,65,2,0.253731343283582,861104.02734375,5936.93311282662
1172,261635351002003,a536a39f-22ef-4e50-a21d-cf81b63323cf,16,6,3,3,28,22,6,19,9,0.214285714285714,288825.077392578,2407.93277817777
1173,261635350002006,adeeb429-c5a9-42b2-b6c4-9b99f48bc8e7,2,2,6,,10,4,6,8,2,0.6,757213.433837891,4520.2989765793
1174,261635352002005,26abe6bd-e40d-4a7f-9d38-e0126cc8709c,27,1,21,,49,28,21,48,1,0.428571428571429,285901.327148438,2399.7383857469
1175,261635342001026,1e91eec8-5a75-450c-a5fe-edc5c861043b,,1,,,1,1,0,0,1,,25768.1013183594,801.664314515121
1176,261635342001031,f336a84f-cc6c-412e-ab17-052fd5122892,,3,,,3,3,0,0,3,,281607.76171875,3032.03176733593
1177,261635345002000,f508d3ee-c3bf-40e5-8d99-3db3144ad3d0,,12,,1,13,12,1,0,13,0.0769230769230769,1494365.67285156,5578.92829578304
1178,261635347004011,ce866396-765b-4431-8a25-7158ce862ac7,2,5,1,,8,7,1,3,5,0.125,330878.250244141,2616.8078113055
1179,261635384002012,a972bdb0-af00-4cc1-a143-8e9bb703a9f0,24,,2,,26,24,2,26,0,0.0769230769230769,239931.896972656,2114.46689655269
1180,261635384004000,5aa88e02-c015-4067-a8b0-a35d16fd036c,12,,,,12,12,0,12,0,,120109.435058594,1692.673010591
1181,261635363001007,406afc6c-a667-411e-939f-44c8ebe3097a,25,,6,,31,25,6,31,0,0.193548387096774,316928.768066406,2285.76815177877
1182,261635255001014,07a7ddcf-8a3d-4332-80bf-64e21817bf88,3,3,1,,7,6,1,4,3,0.142857142857143,226707.278320313,1955.60269783125
1183,261635231001040,90c64217-d248-41da-b888-093b05fad531,8,,,,8,8,0,8,0,,127220.659667969,1703.90708968556
1184,261635231001002,bcdcf4aa-9b1f-4f21-9bc3-6614d183b671,,2,,,2,2,0,0,2,,246652.467529297,2534.41770718341
